Name,Code,Description
Ciertas enfermedades infecciosas y parasitarias,A000,"Colera debido a Vibrio cholerae 01, biotipo cholerae"
Ciertas enfermedades infecciosas y parasitarias,A001,"Colera debido a Vibrio cholerae 01, biotipo el Tor"
Ciertas enfermedades infecciosas y parasitarias,A009,"Colera, no especificado"
Ciertas enfermedades infecciosas y parasitarias,A010,Fiebre tifoidea
Ciertas enfermedades infecciosas y parasitarias,A011,Fiebre paratifoidea A
Ciertas enfermedades infecciosas y parasitarias,A012,Fiebre paratifoidea B
Ciertas enfermedades infecciosas y parasitarias,A013,Fiebre paratifoidea C
Ciertas enfermedades infecciosas y parasitarias,A014,"Fiebre paratifoidea, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A020,Enteritis debida a Salmonella
Ciertas enfermedades infecciosas y parasitarias,A021,Sepsis debida a Salmonella
Ciertas enfermedades infecciosas y parasitarias,A022,Infecciones localizadas debidas a Salmonella
Ciertas enfermedades infecciosas y parasitarias,A028,Otras infecciones especificadas como debidas a Salmonella
Ciertas enfermedades infecciosas y parasitarias,A029,"Infeccion debida a Salmonella, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A030,Shigelosis debida a Shigella dysenteriae
Ciertas enfermedades infecciosas y parasitarias,A031,Shigelosis debida a Shigella flexneri
Ciertas enfermedades infecciosas y parasitarias,A032,Shigelosis debida a Shigella boydii
Ciertas enfermedades infecciosas y parasitarias,A033,Shigelosis debida a Shigella sonnei
Ciertas enfermedades infecciosas y parasitarias,A038,Otras shigelosis
Ciertas enfermedades infecciosas y parasitarias,A039,Shigelosis de tipo no especificado
Ciertas enfermedades infecciosas y parasitarias,A040,Infeccion debida a Escherichia coli enteropatogena
Ciertas enfermedades infecciosas y parasitarias,A041,Infeccion debida a Escherichia coli enterotoxigena
Ciertas enfermedades infecciosas y parasitarias,A042,Infeccion debida a Escherichia coli enteroinvasiva
Ciertas enfermedades infecciosas y parasitarias,A043,Infeccion debida a Escherichia coli enterohemorragica
Ciertas enfermedades infecciosas y parasitarias,A044,Otras infecciones intestinales debidas a Escherichia coli
Ciertas enfermedades infecciosas y parasitarias,A045,Enteritis debida a Campylobacter
Ciertas enfermedades infecciosas y parasitarias,A046,Enteritis debida a Yersinia enterocolitica
Ciertas enfermedades infecciosas y parasitarias,A047,Enterocolitis debida a Clostridium difficile
Ciertas enfermedades infecciosas y parasitarias,A048,Otras infecciones intestinales bacterianas especificadas
Ciertas enfermedades infecciosas y parasitarias,A049,"Infeccion intestinal bacteriana, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A050,Intoxicacion alimentaria estafilococica
Ciertas enfermedades infecciosas y parasitarias,A051,Botulismo
Ciertas enfermedades infecciosas y parasitarias,A052,Intoxicacion alimentaria debida a Clostridium perfringens [Clostridium welchii]
Ciertas enfermedades infecciosas y parasitarias,A053,Intoxicacion alimentaria debida a Vibrio parahaemolyticus
Ciertas enfermedades infecciosas y parasitarias,A054,Intoxicacion alimentaria debida a Bacillus cereus
Ciertas enfermedades infecciosas y parasitarias,A058,Otras intoxicaciones alimentarias debidas a bacterias especificadas
Ciertas enfermedades infecciosas y parasitarias,A059,"Intoxicacion alimentaria bacteriana, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A060,Disenteria amebiana aguda
Ciertas enfermedades infecciosas y parasitarias,A061,Amebiasis intestinal cronica
Ciertas enfermedades infecciosas y parasitarias,A062,Colitis amebiana no disenterica
Ciertas enfermedades infecciosas y parasitarias,A063,Ameboma intestinal
Ciertas enfermedades infecciosas y parasitarias,A064,Absceso amebiano del higado
Ciertas enfermedades infecciosas y parasitarias,A065,Absceso amebiano del pulmon
Ciertas enfermedades infecciosas y parasitarias,A066,Absceso amebiano del cerebro
Ciertas enfermedades infecciosas y parasitarias,A067,Amebiasis cutanea
Ciertas enfermedades infecciosas y parasitarias,A068,Infeccion amebiana de otras localizaciones
Ciertas enfermedades infecciosas y parasitarias,A069,"Amebiasis, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A070,Balantidiasis
Ciertas enfermedades infecciosas y parasitarias,A071,Giardiasis [lambliasis]
Ciertas enfermedades infecciosas y parasitarias,A072,Criptosporidiosis
Ciertas enfermedades infecciosas y parasitarias,A073,Isosporiasis
Ciertas enfermedades infecciosas y parasitarias,A078,Otras enfermedades intestinales especificadas debidas a protozoarios
Ciertas enfermedades infecciosas y parasitarias,A079,"Enfermedad intestinal debida a protozoarios, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A080,Enteritis debida a rotavirus
Ciertas enfermedades infecciosas y parasitarias,A081,Gastroenteropatia aguda debida al agente de Norwalk
Ciertas enfermedades infecciosas y parasitarias,A082,Enteritis debida a adenovirus
Ciertas enfermedades infecciosas y parasitarias,A083,Otras enteritis virales
Ciertas enfermedades infecciosas y parasitarias,A084,"Infeccion intestinal viral, sin otra especificacion"
